,city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Erenhot,43.6475,111.9767,76.14,33,100,12.33,CN,1627917571
1,Port Alfred,-33.5906,26.891,59.13,72,88,14.43,ZA,1627917571
2,Bluff,-46.6,168.3333,44.8,66,100,15.64,NZ,1627917572
3,Kapaa,22.0752,-159.319,79.12,77,75,4.0,US,1627917360
4,Nikolskoye,59.7035,30.7861,62.49,97,100,10.69,RU,1627917359
5,Avarua,-21.2078,-159.775,78.85,89,75,13.8,CK,1627917574
6,Ribeira Grande,38.5167,-28.7,79.2,73,40,10.36,PT,1627917575
7,Qaanaaq,77.484,-69.3632,44.58,66,100,6.4,GL,1627917575
8,Castro,-24.7911,-50.0119,61.65,58,15,1.5,BR,1627917575
9,Udachny,66.4167,112.4,68.72,41,100,11.52,RU,1627917576
10,Sombrio,-29.1139,-49.6167,67.93,63,0,7.72,BR,1627917576
11,Maksatikha,57.797,35.8825,78.31,62,99,11.54,RU,1627917576
12,Nizhniy Kuranakh,58.8353,125.4869,52.81,93,4,4.47,RU,1627917419
13,Mataura,-46.1927,168.8643,44.47,95,100,5.44,NZ,1627917578
14,Rikitea,-23.1203,-134.9692,68.47,55,98,22.53,PF,1627917579
15,Hermanus,-34.4187,19.2345,62.8,76,1,9.8,ZA,1627917579
16,Carnarvon,-24.8667,113.6333,51.87,40,0,11.5,AU,1627917456
17,Port Elizabeth,-33.918,25.5701,59.29,72,90,11.5,ZA,1627917580
18,Albany,42.6001,-73.9662,71.73,72,26,1.01,US,1627917580
19,Hambantota,6.1241,81.1185,79.88,78,100,20.18,LK,1627917580
20,Saskylakh,71.9167,114.0833,65.48,64,55,6.85,RU,1627917342
21,Torbay,47.6666,-52.7314,75.88,51,20,11.5,CA,1627917582
22,Hay River,60.8156,-115.7999,75.16,57,20,3.44,CA,1627917318
23,Morristown,36.214,-83.2949,80.83,66,0,4.43,US,1627917365
24,Vaini,-21.2,-175.2,68.16,83,20,9.22,TO,1627917336
25,Ushuaia,-54.8,-68.3,42.46,65,20,9.22,AR,1627917500
26,Atuona,-9.8,-139.0333,76.84,77,33,15.46,PF,1627917586
27,Bredasdorp,-34.5322,20.0403,63.28,88,63,11.5,ZA,1627917330
28,Goderich,43.7501,-81.7165,71.04,77,5,6.91,CA,1627917319
29,Hasaki,35.7333,140.8333,79.29,92,100,12.19,JP,1627917588
30,Nishihara,26.1842,127.7558,82.06,95,75,13.8,JP,1627917590
31,Lavrentiya,65.5833,-171.0,42.46,97,100,12.21,RU,1627917403
32,Aklavik,68.2191,-135.0107,61.63,82,75,4.61,CA,1627917366
33,Broome,42.2506,-75.833,71.47,67,20,3.0,US,1627917295
34,Virginia Beach,36.8529,-75.978,81.01,68,40,9.22,US,1627917581
35,Rosita,13.9268,-84.4032,78.6,89,91,4.14,NI,1627917594
36,Tuktoyaktuk,69.4541,-133.0374,53.6,94,90,8.05,CA,1627917374
37,Salalah,17.0151,54.0924,77.09,100,90,8.05,OM,1627917595
38,San Cristobal,7.7669,-72.225,77.18,73,99,7.29,VE,1627917595
39,Pacific Grove,36.6177,-121.9166,62.46,87,90,5.01,US,1627917489
40,Nanchang,28.6833,115.8833,82.99,76,0,8.05,CN,1627917305
41,Kumul,42.8,93.45,83.21,20,0,2.64,CN,1627917435
42,Iqaluit,63.7506,-68.5145,46.13,93,90,5.75,CA,1627917398
43,Arraial do Cabo,-22.9661,-42.0278,80.56,68,0,20.71,BR,1627917596
44,Acajutla,13.5928,-89.8275,88.81,61,100,0.69,SV,1627917360
45,Valle Nacional,17.7833,-96.3167,83.17,73,54,1.68,MX,1627917596
46,Ambilobe,-13.2,49.05,74.05,74,40,4.34,MG,1627917596
47,Busselton,-33.65,115.3333,46.09,71,85,5.19,AU,1627917551
48,Hong Kong,22.2855,114.1577,86.38,84,100,4.0,HK,1627917364
49,Stromness,58.965,-3.296,53.56,72,100,4.41,GB,1627917597
50,Puerto Ayora,-0.7393,-90.3518,75.16,83,99,10.0,EC,1627917356
51,Bingöl,38.8847,40.4939,86.77,25,91,10.49,TR,1627917597
52,Panzhihua,26.5851,101.7128,74.68,66,0,0.67,CN,1627917598
53,Jamestown,42.097,-79.2353,70.09,63,75,3.44,US,1627917548
54,Beyneu,45.3167,55.2,101.44,9,3,7.11,KZ,1627917598
55,Borogontsy,62.6683,131.1683,63.28,61,100,5.57,RU,1627917598
56,Saint George,37.1041,-113.5841,85.39,42,1,1.01,US,1627917422
57,Ranong,9.9658,98.6348,80.06,88,99,12.64,TH,1627917375
58,Nanortalik,60.1432,-45.2371,46.53,87,93,4.76,GL,1627917380
59,Yar-Sale,66.8333,70.8333,59.29,84,98,10.04,RU,1627917603
60,Manggar,-2.8833,108.2667,81.55,74,95,9.1,ID,1627917604
61,Khatanga,71.9667,102.5,66.16,61,100,10.11,RU,1627917605
62,Isangel,-19.55,169.2667,68.83,67,24,14.18,VU,1627917606
63,Bolgar,54.95,49.0667,89.51,52,100,4.61,RU,1627917607
64,Hilo,19.7297,-155.09,71.62,88,90,3.44,US,1627917529
65,Norman Wells,65.282,-126.8329,64.44,72,20,3.44,CA,1627917367
66,Cape Town,-33.9258,18.4232,68.34,63,0,1.99,ZA,1627917319
67,Mahébourg,-20.4081,57.7,68.29,68,20,3.44,MU,1627917609
68,Kaitangata,-46.2817,169.8464,48.92,73,100,14.45,NZ,1627917610
69,Severo-Kuril'sk,50.6789,156.125,52.7,88,94,16.44,RU,1627917612
70,Owando,-0.4819,15.8999,92.19,36,81,7.63,CG,1627917613
71,Westport,41.1415,-73.3579,77.43,70,20,1.01,US,1627917590
72,Kedrovyy,56.1667,91.8167,59.41,95,84,1.99,RU,1627917614
73,Yuancheng,36.652,107.7896,79.39,53,54,12.28,CN,1627917615
74,Mahibadhoo,3.7833,72.9667,82.98,70,100,5.19,MV,1627917396
75,Tiksi,71.6872,128.8694,48.45,66,22,2.93,RU,1627917617
76,Hobart,-42.8794,147.3294,49.26,79,100,3.0,AU,1627917617
77,Oktyabr'skiy,54.4815,53.471,85.71,31,77,3.78,RU,1627917619
78,Mount Isa,-20.7333,139.5,73.17,60,90,17.27,AU,1627917621
79,Yellowknife,62.456,-114.3525,72.12,64,40,9.22,CA,1627917621
80,Vila Velha,-20.3297,-40.2925,72.97,71,75,4.61,BR,1627917383
81,Alassio,44.0039,8.1671,82.17,64,20,16.11,IT,1627917559
82,Port Hardy,50.6996,-127.4199,59.18,82,90,4.61,CA,1627917375
83,Punta Arenas,-53.15,-70.9167,44.71,61,0,24.16,CL,1627917366
84,Oussouye,12.485,-16.5469,77.02,90,100,11.32,SN,1627917623
85,Blairmore,49.6,-114.4353,69.67,77,100,3.44,CA,1627917624
86,Rawson,-43.3002,-65.1023,62.01,28,49,5.1,AR,1627917625
87,Ilulissat,69.2167,-51.1,60.82,36,75,16.11,GL,1627917625
88,Boca do Acre,-8.7522,-67.3978,85.86,22,25,6.98,BR,1627917625
89,Butaritari,3.0707,172.7902,82.67,72,55,7.74,KI,1627917626
90,Florø,61.5996,5.0328,64.47,55,20,18.41,NO,1627917626
91,Talnakh,69.4865,88.3972,69.33,52,94,5.19,RU,1627917626
92,Kruisfontein,-34.0033,24.7314,56.88,84,69,13.56,ZA,1627917626
93,Guangming,45.3333,122.7833,65.07,82,100,6.6,CN,1627917627
94,Vila Franca do Campo,37.7167,-25.4333,75.61,59,0,9.53,PT,1627917628
95,East London,-33.0153,27.9116,58.14,82,40,9.22,ZA,1627917362
96,Guerrero Negro,27.9769,-114.0611,74.1,69,0,5.55,MX,1627917629
97,Anáhuac,27.2333,-100.15,83.7,59,97,3.69,MX,1627917629
98,Pevek,69.7008,170.3133,32.11,94,92,19.37,RU,1627917630
99,Cherskiy,68.75,161.3,33.03,94,89,11.01,RU,1627917630
100,Saint-Philippe,-21.3585,55.7679,69.39,75,50,7.49,RE,1627917630
101,Parry Sound,45.3501,-80.033,68.86,52,0,5.79,CA,1627917630
102,Souillac,-20.5167,57.5167,68.38,68,20,3.44,MU,1627917413
103,Alyangula,-13.8483,136.4192,73.17,89,5,6.85,AU,1627917632
104,Knyaze-Volkonskoye,48.4642,135.4567,71.94,85,17,5.82,RU,1627917633
105,Christchurch,-43.5333,172.6333,48.9,89,90,8.01,NZ,1627917633
106,Bilma,18.6853,12.9164,108.05,8,1,7.9,NE,1627917634
107,Caravelas,-17.7125,-39.2481,73.29,62,100,7.94,BR,1627917635
108,Basco,20.4487,121.9702,82.58,85,100,27.67,PH,1627917636
109,Ballarat,-37.5662,143.8496,45.99,98,100,8.1,AU,1627917637
110,Eyl,7.9803,49.8164,80.85,66,93,27.89,SO,1627917637
111,Wynyard,-41.0,145.7167,49.57,85,96,8.12,AU,1627917638
112,Sendafa,9.15,39.0333,52.95,82,60,6.6,ET,1627917639
113,Cockburn Town,21.4612,-71.1419,82.02,73,100,17.05,TC,1627917375
114,Vostok,46.4856,135.8833,66.06,90,42,3.24,RU,1627917641
115,Vaitape,-16.5167,-151.75,78.96,68,91,14.58,PF,1627917642
116,Scarborough,54.2797,-0.4044,68.65,60,100,1.99,GB,1627917486
117,Sechura,-5.5569,-80.8222,70.97,66,7,10.74,PE,1627917644
118,New Norfolk,-42.7826,147.0587,48.92,79,100,1.86,AU,1627917644
119,Sambava,-14.2667,50.1667,73.13,76,21,11.52,MG,1627917645
120,Vardø,70.3705,31.1107,57.4,84,100,8.41,NO,1627917646
121,Bethel,41.3712,-73.414,75.49,72,40,8.05,US,1627917647
122,Biograd na Moru,43.9433,15.4519,84.9,36,24,8.48,HR,1627917647
123,Bonnyville,54.2668,-110.735,78.12,35,27,6.4,CA,1627917610
124,Khakhea,-24.6895,23.494,74.14,10,0,7.16,BW,1627917649
125,Bilibino,68.0546,166.4372,34.59,85,100,8.9,RU,1627917353
126,Atbasar,51.8,68.3333,76.91,42,70,6.44,KZ,1627917650
127,Grandview,38.8858,-94.533,76.91,66,1,0.0,US,1627917600
128,Esperance,-33.8667,121.9,49.84,76,88,9.33,AU,1627917652
129,Husavik,66.0449,-17.3389,58.91,76,98,3.18,IS,1627917653
130,Marechal Cândido Rondon,-24.5561,-54.0567,70.25,41,0,4.92,BR,1627917653
131,Margate,51.3813,1.3862,66.31,63,49,1.01,GB,1627917653
